ID,N_VICTIMAS,HORA_ACCIDENTE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,ACUSADO,FECHA_ACCIDENTE,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE,ANIO
2016-0001,1,04:00:00,Av Piedra Buena Y Av Fernandez De La Cruz,Avenida,8,-58.47533969,-34.68757022,Moto-Auto,Auto,2016-01-01,Conductor,Moto,Masculino,19,2016-01-01 00:00:00,1,2016
2016-0002,1,01:15:00,Av Gral Paz Y Av De Los Corrales,Gral Paz,9,-58.50877521,-34.66977709,Auto-Pasajeros,Pasajeros,2016-01-02,Conductor,Auto,Masculino,70,2016-01-02 00:00:00,1,2016
2016-0003,1,07:00:00,Av Entre Rios 2034,Avenida,1,-58.39040293,-34.63189362,Moto-Auto,Auto,2016-01-03,Conductor,Moto,Masculino,30,2016-01-03 00:00:00,1,2016
2016-0005,1,05:20:00,Av San Juan Y Presidente Luis Saenz Peña,Avenida,1,-58.38718297,-34.62246630,Moto-Pasajeros,Pasajeros,2016-01-21,Conductor,Moto,Masculino,29,2016-02-01 00:00:00,1,2016
2016-0008,1,18:30:00,Av 27 De Febrero Y Av Escalada,Avenida,8,-58.44451316,-34.68475866,Moto-Objeto Fijo,Objeto Fijo,2016-01-24,Conductor,Moto,Masculino,30,2016-01-24 00:00:00,1,2016
2016-0009,1,19:10:00,Nogoya Y Joaquin V. Gonzales,Calle,11,-58.50095869,-34.60825440,Moto-Auto,Auto,2016-01-24,Pasajero_Acompañante,Moto,Masculino,29,2016-01-26 00:00:00,1,2016
2016-0010,1,15:20:00,Av General Paz Y Av De Los Corrales,Gral Paz,9,-58.50877521,-34.66977709,Moto-Auto,Auto,2016-01-29,Conductor,Moto,Masculino,18,2016-01-29 00:00:00,1,2016
2016-0012,1,01:20:00,Av Belgrano Y Bernardo De Irigoyen,Avenida,1,-58.38048577,-34.61303893,Moto-Cargas,Cargas,2016-02-08,Conductor,Moto,Masculino,22,2016-02-08 00:00:00,1,2016
2016-0013,1,11:30:00,Av Entre Rios 1366,Avenida,1,-58.39114932,-34.62477387,Peaton-Auto,Auto,2016-02-10,Peaton,Peaton,Masculino,16,2016-02-10 00:00:00,1,2016
2016-0015,1,05:14:00,Av Scalabrini Ortiz Y Vera,Avenida,15,-58.43760020,-34.59912758,Peaton-Auto,Auto,2016-02-14,Peaton,Peaton,Femenino,16,2016-02-14 00:00:00,1,2016
2016-0016,1,22:00:00,Av Regimiento De Patricios Y Quinquela Martin Benito,Avenida,4,-58.36882665,-34.64291993,Moto-Auto,Auto,2016-02-14,Pasajero_Acompañante,Moto,Femenino,19,2016-02-14 00:00:00,1,2016
2016-0017,1,16:54:00,Mariano Acosta Y Ana Maria Janer,Avenida,8,-58.44989671,-34.65970435,Peaton-Moto,Moto,2016-02-15,Peaton,Peaton,Masculino,59,2016-02-16 00:00:00,1,2016
